bios,typ,date,tracks,heads,sektors_tr,pre,landing,sektors_al
IBM,1,1984-10-01,306,4,17,128,305,20808
IBM,2,1984-10-01,615,4,17,300,615,41820
IBM,3,1984-10-01,615,6,17,300,615,62730
IBM,4,1984-10-01,940,8,17,512,940,127840
IBM,5,1984-10-01,940,6,17,512,640,95880
IBM,6,1984-10-01,615,4,17,,615,41820
IBM,7,1984-10-01,462,8,17,256,511,62832
IBM,8,1984-10-01,733,5,17,,733,62305
IBM,9,1984-10-01,900,15,17,,901,229500
IBM,10,1984-10-01,820,3,17,,820,41820
IBM,11,1984-10-01,855,5,17,,855,72675
IBM,12,1984-10-01,855,7,17,,855,101745
IBM,13,1984-10-01,306,8,17,128,319,41616
IBM,14,1984-10-01,733,7,17,,733,87227
IBM,16,1985-10-06,612,4,17,0,663,41616
IBM,17,1985-10-06,977,5,17,300,977,83045
IBM,18,1985-10-06,977,7,17,0,977,116263
IBM,19,1985-10-06,1024,7,17,512,1023,121856
IBM,20,1985-10-06,733,5,17,300,732,62305
IBM,21,1985-10-06,733,7,17,300,732,87227
IBM,22,1985-10-06,733,5,17,300,733,62305
IBM,23,1985-10-06,306,4,17,,336,20808
IBM PS2,24,,612,4,17,305,663,41616
IBM PS2,25,,306,4,17,0,340,20808
IBM PS2,26,,612,4,17,0,670,41616
IBM PS2,27,,698,7,17,300,732,83062
IBM PS2,28,,976,5,17,488,977,82960
IBM PS2,29,,306,4,17,,340,20808
IBM PS2,30,,611,4,17,306,663,41548
IBM PS2,31,,732,7,17,300,732,87108
IBM PS2,32,,1023,5,17,0,1023,86955
COMPAQ,1,,306,4,17,128,305,20808
COMPAQ,2,,615,4,17,128,638,41820
COMPAQ,3,,615,6,17,128,615,62730
COMPAQ,4,,1024,8,17,512,1023,139264
COMPAQ,5,,805,6,17,,805,82110
COMPAQ,6,,697,5,17,128,696,59245
COMPAQ,7,,462,8,17,256,511,62832
COMPAQ,8,,925,5,17,,899,78625
COMPAQ,10,,980,5,17,,980,83300
COMPAQ,11,,925,7,17,128,924,110075
COMPAQ,12,,925,9,17,128,924,141525
COMPAQ,13,,612,8,17,256,611,83232
COMPAQ,14,,980,4,17,128,980,66640
COMPAQ,16,,612,4,17,,612,41616
COMPAQ,17,,980,5,17,128,980,83300
COMPAQ,18,,966,5,17,128,966,82110
COMPAQ,19,,754,11,17,,753,140998
COMPAQ,20,,733,5,17,256,732,62305
COMPAQ,21,,733,7,17,256,732,87227
COMPAQ,22,,524,4,40,,524,83840
COMPAQ,23,,924,8,17,,924,125664
COMPAQ,24,,966,14,17,,966,229908
COMPAQ,25,,966,16,17,,966,262752
COMPAQ,26,,1023,14,17,,1023,243474
COMPAQ,27,,832,6,33,,832,164736
COMPAQ,28,,1222,15,34,0,1222,623220
COMPAQ,29,,1240,7,34,,1240,295120
COMPAQ,30,,615,4,25,128,615,61500
COMPAQ,31,,615,8,25,128,615,123000
COMPAQ,32,,905,9,25,128,905,203625
COMPAQ,33,,832,8,33,,832,219648
COMPAQ,34,,966,7,34,,966,229908
COMPAQ,35,,966,8,34,,966,262752
COMPAQ,36,,966,9,34,,966,295596
COMPAQ,37,,966,5,34,,966,164220
COMPAQ,38,,611,16,63,,611,615888
COMPAQ,39,,1023,11,33,,1023,371349
COMPAQ,40,,1023,15,34,,1023,521730
COMPAQ,43,,805,4,26,,805,83720
COMPAQ,44,,805,2,26,,805,41860
COMPAQ,45,,748,8,33,,748,197472
COMPAQ,46,,748,6,33,,748,148104
COMPAQ,47,,966,5,25,128,966,120750
PHOENIX,1,,306,4,17,128,305,20808
PHOENIX,2,,615,4,17,300,615,41820
PHOENIX,3,,615,6,17,300,615,62730
PHOENIX,4,,940,8,17,512,940,127840
PHOENIX,5,,940,6,17,512,940,95880
PHOENIX,6,,615,4,17,,615,41820
PHOENIX,7,,462,8,17,256,511,62832
PHOENIX,8,,733,5,17,,733,62305
PHOENIX,9,,900,15,17,,901,229500
PHOENIX,10,,820,3,17,,820,41820
PHOENIX,11,,855,5,17,,855,72675
