produzent,typ,cap,seek,inch,cyl,hds,sec,cyl_l,hds_l,sec_l,pre,lnd,controller,mtbf,lift,date,notiz,sektors_al,mb,satz
ALPS,DR311C,105,13,3.5,732,8,35,0,0,0,0,0,AT,0,,,,204960,100,1
ALPS,DR312C,211,13,3.5,527,16,49,0,0,0,0,0,AT,0,,,,413168,202,2
ALPS,DRND-10A,10,60,,615,2,17,0,0,0,0,0,MFM,0,,,,20910,10,3
ALPS,DRND-20A,20,60,,615,4,17,0,0,0,0,0,MFM,0,,,,41820,20,4
ALPS,DRPO-20A,0,60,,615,2,26,0,0,0,0,0,RLL,0,,,,31980,16,5
ALPS,DRPO-20D,20,60,,615,2,26,0,0,0,0,0,RLL,0,,,,31980,16,6
AMPEX,PYXIS-13,10,90,,320,4,17,0,0,0,0,0,MFM,0,,,,21760,11,7
AMPEX,PYXIS-20,15,90,,320,6,17,0,0,0,0,0,MFM,0,,,,32640,16,8
AMPEX,PYXIS-27,20,90,,320,8,17,0,0,0,0,0,MFM,0,,,,43520,21,9
AMPEX,PYXIS-7,5,90,,320,2,17,0,0,0,0,0,MFM,0,,,,10880,5,10
AREAL,A 120,130,15,2.5,535,10,50,0,0,0,0,0,AT,0,,,,267500,131,11
AREAL,A 180,174,15,2.5,715,10,50,0,0,0,0,0,AT,0,,,,357500,175,12
AREAL,A 260,248,15,2.5,757,10,60,0,0,0,0,0,AT,0,,,,454200,222,13
AREAL,MD2085,81,16,2.5,705,14,17,0,0,0,0,0,AT,0,,,,167790,82,14
AREAL TECH,A-120,120,15,2.5,0,0,0,0,0,0,0,0,,100,Y,,,0,0,15
AREAL TECH,BP-100,100,0,2.5,0,0,0,0,0,0,0,0,SCSI,0,Y,,,0,0,16
AREAL TECH,MD-2050,49,28,2.5,819,0,0,0,0,0,0,0,AT,0,,,,0,0,17
AREAL TECH,MD-2060,62,22,2.5,1024,2,60,0,0,0,0,0,IDE,45,Y,,,0,0,18
AREAL TECH,MD-2100,100,29,2.5,0,0,0,0,0,0,0,0,,0,Y,,,0,0,19
ATASI,6120,1051,14,5.25,1925,15,71,0,0,0,0,0,ESDI,150,Y,,,2050125,1001,20
ATASI,676,765,16,5.25,1632,15,54,0,0,0,0,0,ESDI,0,Y,,,1321920,645,21
ATASI,AT 3020,16,0,,645,3,17,0,0,0,0,634,MFM,0,N,1992-12-10,,32385,16,22
ATASI,AT 3030,28,0,5.25,645,5,17,0,0,0,323,645,MFM,0,,,,54825,27,23
ATASI,AT 3033,26,28,5.25,645,5,17,0,0,0,0,634,,0,N,,,53975,26,24
ATASI,AT 3036,30,0,5.25,0,0,0,0,0,0,0,0,,0,,1992-12-10,,0,0,25
ATASI,AT 3046,38,0,5.25,645,7,17,0,0,0,323,644,,0,N,,,76755,37,26
ATASI,AT 3051,41,0,5.25,704,7,17,0,0,0,352,703,,0,N,1990-08-23,,83776,41,27
ATASI,AT 3051+,43,0,,733,7,17,0,0,0,368,732,,0,N,,,87227,43,28
ATASI,AT 3053,44,0,5.25,733,7,17,0,0,0,365,732,,0,N,,,133406,65,29
ATASI,AT 3058,67,0,,1024,8,17,0,0,0,0,0,MFM,0,,,,139264,68,30
ATASI,AT 3065,54,0,,900,7,17,0,0,0,352,0,MFM,0,,,,107100,52,31
ATASI,AT 3075,67,0,5.25,1024,8,17,0,0,0,0,0,MFM,0,,,,139264,68,32
ATASI,AT 3085,68,0,5.25,1024,8,17,0,0,0,,1023,,0,N,,,139264,68,33
ATASI,AT 3128,104,0,,1024,8,26,0,0,0,,1023,,0,N,,,212992,104,34
ATTO,SILICON DISK+,128,1,,0,0,0,0,0,0,0,0,SCSI,0,,,,0,0,35
BASF,6182,5,0,5.25,153,4,17,0,0,0,64,0,MFM,11,,1992-12-10,,10404,5,36
BASF,6183,8,0,FH5,153,6,17,0,0,0,64,0,MFM,11,,1992-12-10,,15606,8,37
BASF,6184,11,0,FH5,230,6,17,0,0,0,64,0,MFM,11,,1992-12-10,,23460,11,38
BASF,6185,22,18,FH5,440,6,17,0,0,0,128,0,MFM,11,+,1992-12-10,,44880,22,39
BASF,6186,14,18,FH5,440,4,17,0,0,0,128,0,MFM,11,+,1992-12-10,,29920,15,40
BASF,6187,7,0,,440,2,17,0,0,0,220,0,MFM,0,,,,14960,7,41
BASF,6188,12,88,HH5,360,4,17,0,0,0,128,0,MFM,11,+,1992-12-10,,24480,12,42
BASF,6188R 12,10,88,5H,616,2,17,0,0,0,,615,MFM,15,J,,,20944,10,43
BASF,6188R 25,21,88,5H,616,4,17,0,0,0,,615,MFM,15,J,,,41888,20,44
BASF,6188-R1,10,88,HH5,616,2,17,0,0,0,0,0,MFM,15,+,1992-12-10,,20944,10,45
BASF,6188-R3,20,88,HH5,616,4,17,0,0,0,380,0,MFM,15,+,1992-12-10,,41888,20,46
BASF,6192,43,30,5F,1024,5,17,0,0,0,,1023,MFM,12,J,,,87040,42,47
BASF,6193,60,30,5F,1024,7,17,0,0,0,,1023,MFM,12,J,,,121856,60,48
BASF,6194,77,30,5F,1024,9,17,0,0,0,,1023,MFM,12,J,,,156672,76,49
BASF,6195,68,30,5F,1024,8,17,0,0,0,,1023,MFM,12,J,,,139264,68,50
BRAND TECH,BT8085,67,0,,1024,8,17,0,0,0,0,0,MFM,0,,,,139264,68,51
BRAND TECH,BT8128,109,0,,1024,8,26,0,0,0,0,0,RLL,0,,,,212992,104,52
BRAND TECH,BT8170,142,0,,1024,8,34,0,0,0,0,0,ESDI,0,,,,278528,136,53
BULL,D530,30,0,,987,3,17,0,0,0,987,986,,0,N,,,0,0,54
BULL,D550,43,0,,987,5,17,0,0,0,987,986,,0,N,,,0,0,55
BULL,D570,70,0,,987,7,17,0,0,0,987,986,,0,N,,,0,0,56
BULL,D585,85,0,,1166,7,17,0,0,0,1166,1165,,0,N,,,0,0,57
CARDIFF,F-3053,44,20,3.5,1024,5,17,0,0,0,0,0,MFM,0,,,,87040,42,58
CARDIFF,F-3080,68,20,3.5,1024,5,26,0,0,0,0,0,SCSI,0,,,,133120,65,59
CARDIFF,F-3080E,68,20,3.5,1024,5,26,0,0,0,0,0,ESDI,0,,,,133120,65,60
CARDIFF,F-3080S,68,20,3.5,1024,5,26,0,0,0,0,0,SCSI,0,,,,133120,65,61
CARDIFF,F-3127E,109,20,3.5,1024,5,35,0,0,0,0,0,ESDI,0,,,,179200,88,62
CARDIFF,F-3127S,109,20,3.5,1024,5,35,0,0,0,0,0,SCSI,0,,,,0,0,63
CDC,1230,1236,16,8,1636,15,0,0,0,0,0,0,SMD,0,,,,0,0,64
CDC,368,368,18,8,1217,10,0,0,0,0,0,0,SMD,0,,,,0,0,65
CDC,500,500,18,8,1217,10,0,0,0,0,0,0,SMD,0,,,,0,0,66
CDC,736,741,16,8,1635,15,0,0,0,0,0,0,SMD,7,,,,0,0,67
CDC,77731608,27,0,5.25,671,5,17,0,0,0,128,0,MFM,0,,,,57035,28,68
CDC,77731613,30,0,5.25,734,5,17,0,0,0,128,0,MFM,0,,,,62390,30,69
CDC,77731614,22,36,5.25,671,4,17,0,0,0,128,0,MFM,0,,,,45628,22,70
CDC,850,851,16,8,1381,15,0,0,0,0,0,0,SMD,0,,,,0,0,71
CDC,94151-138,138,17,5.25,969,8,35,0,0,0,0,0,SCSI,0,Y,,,271320,132,72
CDC,94151-25,25,0,5.25,921,3,36,0,0,0,0,0,SASI,0,,,,99468,49,73
CDC,94151-27,27,0,5.25,921,3,19,0,0,0,0,0,SASI,0,,,,52497,26,74
CDC,94151-42,42,0,5.25,921,5,36,0,0,0,0,0,SASI,0,,,,165780,81,75
CDC,94151-44,44,0,5.25,921,5,19,0,0,0,0,0,SASI,0,,,,87495,43,76
