bios,typ,date,tracks,heads,sektors_tr,pre,landing,sektors_al
IBM PS2,25,,306,4,17,0,340,20808
COMPAQ,1,,306,4,17,128,305,20808
IBM PS2,29,,306,4,17,,340,20808
AWARD,1,,306,4,17,128,305,20808
AMI,1,,306,4,17,128,305,20808
IBM,23,1985-10-06,306,4,17,,336,20808
AMI,23,,306,4,17,,336,20808
PHOENIX,1,,306,4,17,128,305,20808
PHOENIX,23,,306,4,17,,336,20808
AMI,34,,612,2,17,128,612,20808
IBM,1,1985-10-06,306,4,17,128,305,20808
HP,29,,306,4,17,0,340,20808
HP,1,,306,4,17,128,305,20808
HP,23,,306,4,17,0,336,20808
HP,25,,306,4,17,0,340,20808
AWARD,23,,306,4,17,,336,20808
PHOENIX,30,,615,2,17,615,615,20910
IBM PS2,30,,611,4,17,306,663,41548
HP,30,,611,4,17,306,633,41548
AWARD,13,,306,8,17,128,319,41616
COMPAQ,16,,612,4,17,,612,41616
IBM,13,1984-10-01,306,8,17,128,319,41616
AMI,13,,306,8,17,128,319,41616
PHOENIX,13,,306,8,17,128,319,41616
IBM PS2,24,,612,4,17,305,663,41616
IBM,16,1985-10-06,612,4,17,0,663,41616
PHOENIX,16,,612,4,17,,663,41616
AMI,16,,612,4,17,,663,41616
AWARD,16,,612,4,17,0,663,41616
IBM PS2,26,,612,4,17,0,670,41616
HP,13,,306,8,17,128,319,41616
HP,16,,612,4,17,0,663,41616
HP,24,,612,4,17,305,663,41616
HP,26,,612,4,17,0,670,41616
COMPAQ,2,,615,4,17,128,638,41820
IBM,6,1984-10-01,615,4,17,0,615,41820
IBM,2,1985-10-06,615,4,17,300,615,41820
PHOENIX,39,,615,4,17,128,664,41820
AWARD,6,,615,4,17,0,615,41820
AWARD,10,,820,3,17,0,820,41820
AMI,6,,615,4,17,,615,41820
AMI,10,,820,3,17,0,820,41820
PHOENIX,2,,615,4,17,300,615,41820
AMI,2,,615,4,17,300,615,41820
PHOENIX,6,,615,4,17,0,615,41820
PHOENIX,25,,615,4,17,,615,41820
PHOENIX,10,,820,3,17,0,820,41820
IBM,10,1984-10-01,820,3,17,0,820,41820
AWARD,2,,615,4,17,300,615,41820
HP,6,,615,4,17,0,615,41820
HP,10,,820,3,17,0,820,41820
HP,2,,615,4,17,310,615,41820
COMPAQ,44,,805,2,26,0,805,41860
AMI,38,,987,3,17,987,987,50337
COMPAQ,6,,697,5,17,128,696,59245
COMPAQ,30,,615,4,25,128,615,61500
AMI,20,,733,5,17,300,732,62305
PHOENIX,20,,733,5,17,300,732,62305
AMI,8,,733,5,17,0,733,62305
AWARD,22,,733,5,17,300,733,62305
COMPAQ,20,,733,5,17,256,732,62305
IBM,20,1985-10-06,733,5,17,300,732,62305
PHOENIX,22,,733,5,17,300,733,62305
AWARD,20,,733,5,17,300,732,62305
IBM,8,1985-10-06,733,5,17,0,733,62305
AWARD,8,,733,5,17,0,733,62305
PHOENIX,8,,733,5,17,0,733,62305
HP,22,,733,5,17,310,733,62305
IBM,22,1985-10-06,733,5,17,300,733,62305
AMI,22,,733,5,17,300,733,62305
HP,8,,733,5,17,0,733,62305
HP,20,,733,5,17,310,732,62305
HP,3,,615,6,17,310,615,62730
AMI,3,,615,6,17,300,615,62730
IBM,3,1985-10-06,615,6,17,300,615,62730
PHOENIX,3,,615,6,17,300,615,62730
COMPAQ,3,,615,6,17,128,615,62730
AWARD,3,,615,6,17,300,615,62730
AMI,7,,462,8,17,256,511,62832
IBM,7,1985-10-06,462,8,17,256,511,62832
PHOENIX,7,,462,8,17,256,511,62832
AWARD,7,,462,8,17,256,511,62832
COMPAQ,7,,462,8,17,256,511,62832
HP,7,,462,8,17,256,511,62832
COMPAQ,14,,980,4,17,128,980,66640
PHOENIX,29,,512,8,17,256,512,69632
PHOENIX,26,,1024,4,17,0,1023,69632
AWARD,11,,855,5,17,0,855,72675
PHOENIX,11,,855,5,17,0,855,72675
HP,11,,855,5,17,0,855,72675
IBM,11,1985-10-06,855,5,17,0,855,72675
AMI,11,,855,5,17,0,855,72675
COMPAQ,8,,925,5,17,0,899,78625
COMPAQ,18,,966,5,17,128,966,82110
COMPAQ,5,,805,6,17,0,805,82110
IBM PS2,28,,976,5,17,488,977,82960
HP,28,,976,5,17,488,977,82960
IBM,17,1985-10-06,977,5,17,300,977,83045
AMI,17,,977,5,17,300,977,83045
HP,17,,977,5,17,310,977,83045
AMI,41,,977,5,17,977,977,83045
AWARD,17,,977,5,17,300,977,83045
PHOENIX,17,,977,5,17,300,977,83045
IBM PS2,27,,698,7,17,300,732,83062
HP,27,,698,7,17,310,732,83062
AMI,28,,699,7,17,256,699,83181
PHOENIX,47,,699,7,17,256,700,83181
COMPAQ,13,,612,8,17,256,611,83232
COMPAQ,10,,980,5,17,0,980,83300
COMPAQ,17,,980,5,17,128,980,83300
AMI,42,,981,5,17,981,981,83385
PHOENIX,44,,820,6,17,0,820,83640
HP,44,,820,6,17,0,820,83640
PHOENIX,40,,615,8,17,128,664,83640
AMI,37,,615,8,17,128,615,83640
AMI,40,,820,6,17,820,820,83640
COMPAQ,43,,805,4,26,0,805,83720
COMPAQ,22,,524,4,40,0,524,83840
PHOENIX,31,,989,5,17,,989,84065
HP,39,,511,10,17,0,511,86870
IBM PS2,32,,1023,5,17,0,1023,86955
HP,32,,1023,5,17,0,1023,86955
PHOENIX,27,,1024,5,17,0,1023,87040
AMI,33,,1024,5,17,1024,1024,87040
PHOENIX,36,,1024,5,17,512,1024,87040
IBM PS2,31,,732,7,17,300,732,87108
HP,31,,732,7,17,310,732,87108
COMPAQ,21,,733,7,17,256,732,87227
IBM,14,1985-10-06,733,7,17,0,733,87227
PHOENIX,14,,733,7,17,0,733,87227
AWARD,14,,733,7,17,0,733,87227
AWARD,21,,733,7,17,300,732,87227
AMI,14,,733,7,17,0,733,87227
AMI,21,,733,7,17,300,732,87227
PHOENIX,21,,733,7,17,300,732,87227
IBM,21,1985-10-06,733,7,17,300,732,87227
HP,21,,733,7,17,310,732,87227
HP,14,,733,7,17,0,733,87227
AMI,26,,754,7,17,754,754,89726
PHOENIX,5,,940,6,17,512,940,95880
HP,5,,940,6,17,512,940,95880
AMI,5,,940,6,17,512,940,95880
IBM,5,1985-10-06,940,6,17,512,640,95880
AWARD,5,,940,6,17,512,940,95880
AMI,43,,830,7,17,512,830,98770
PHOENIX,12,,855,7,17,0,855,101745
AMI,12,,855,7,17,0,855,101745
IBM,12,1985-10-06,855,7,17,0,855,101745
AWARD,12,,855,7,17,0,855,101745
HP,12,,855,7,17,0,855,101745
HP,40,,624,10,17,0,624,106080
HP,45,,791,8,17,0,791,107576
AMI,30,,918,7,17,918,918,109242
AMI,24,,925,7,17,,699,110075
COMPAQ,11,,925,7,17,128,924,110075
PHOENIX,18,,977,7,17,0,977,116263
AMI,18,,977,7,17,0,977,116263
HP,18,,977,7,17,0,977,116263
AWARD,18,,977,7,17,0,977,116263
IBM,18,1985-10-06,977,7,17,0,977,116263
AMI,39,,987,7,17,987,987,117453
COMPAQ,47,,966,5,25,128,966,120750
AWARD,19,,1024,7,17,512,1023,121856
PHOENIX,19,,1024,7,17,512,1023,121856
IBM,19,1985-10-06,1024,7,17,512,1023,121856
AMI,19,,1024,7,17,512,1023,121856
HP,19,,1024,7,17,512,1023,121856
COMPAQ,31,,615,8,25,128,615,123000
COMPAQ,23,,924,8,17,0,924,125664
HP,4,,940,8,17,512,940,127840
AMI,4,,940,8,17,512,940,127840
IBM,4,1984-10-01,940,8,17,512,940,127840
AWARD,4,,940,8,17,512,940,127840
PHOENIX,4,,940,8,17,512,940,127840
AMI,36,,1024,8,17,512,1024,139264
COMPAQ,4,,1024,8,17,512,1023,139264
PHOENIX,28,,1024,8,17,0,1023,139264
PHOENIX,45,,1024,8,17,0,1024,139264
PHOENIX,43,,823,10,17,512,823,139910
PHOENIX,38,,823,10,17,256,824,139910
AMI,29,,823,10,17,0,823,139910
COMPAQ,19,,754,11,17,0,753,140998
AMI,27,,754,11,17,0,754,140998
AMI,44,,830,10,17,0,830,141100
PHOENIX,37,,830,10,17,0,830,141100
COMPAQ,12,,925,9,17,128,924,141525
AMI,25,,925,9,17,0,925,141525
PHOENIX,46,,925,9,17,0,925,141525
COMPAQ,46,,748,6,33,0,748,148104
HP,41,,624,14,17,0,624,148512
PHOENIX,35,,1024,9,17,1024,1024,156672
AMI,35,,1024,9,17,512,1024,156672
HP,46,,791,12,17,0,791,161364
