id,produzent,modell,typ,inch,controller,lift,date,notiz,cap,seek,cyl,hds,sec,cyl_l,hds_l,sec_l,pre,lnd,mtbf
1,ALPS,,DR311C,3.5,AT,,,,105,13,732,8,35,0,0,0,0,0,0
2,ALPS,,DR312C,3.5,AT,,,,211,13,527,16,49,0,0,0,0,0,0
3,ALPS,,DRND-10A,,MFM,,,,10,60,615,2,17,0,0,0,0,0,0
4,ALPS,,DRND-20A,,MFM,,,,20,60,615,4,17,0,0,0,0,0,0
5,ALPS,,DRPO-20A,,RLL,,,,0,60,615,2,26,0,0,0,0,0,0
6,ALPS,,DRPO-20D,,RLL,,,,20,60,615,2,26,0,0,0,0,0,0
7,AMPEX,,PYXIS-13,,MFM,,,,10,90,320,4,17,0,0,0,0,0,0
8,AMPEX,,PYXIS-20,,MFM,,,,15,90,320,6,17,0,0,0,0,0,0
9,AMPEX,,PYXIS-27,,MFM,,,,20,90,320,8,17,0,0,0,0,0,0
10,AMPEX,,PYXIS-7,,MFM,,,,5,90,320,2,17,0,0,0,0,0,0
11,AREAL,,"A 120",2.5,AT,,,,130,15,535,10,50,0,0,0,0,0,0
12,AREAL,,"A 180",2.5,AT,,,,174,15,715,10,50,0,0,0,0,0,0
13,AREAL,,"A 260",2.5,AT,,,,248,15,757,10,60,0,0,0,0,0,0
14,AREAL,,MD2085,2.5,AT,,,,81,16,705,14,17,0,0,0,0,0,0
15,"AREAL TECH",,A-120,2.5,,Y,,,120,15,0,0,0,0,0,0,0,0,100
16,"AREAL TECH",,BP-100,2.5,SCSI,Y,,,100,0,0,0,0,0,0,0,0,0,0
17,"AREAL TECH",,MD-2050,2.5,AT,,,,49,28,819,0,0,0,0,0,0,0,0
18,"AREAL TECH",,MD-2060,2.5,IDE,Y,,,62,22,1024,2,60,0,0,0,0,0,45
19,"AREAL TECH",,MD-2100,2.5,,Y,,,100,29,0,0,0,0,0,0,0,0,0
20,ATASI,,6120,5.2,ESDI,Y,,,1051,14,1925,15,71,0,0,0,0,0,150
21,ATASI,,676,5.2,ESDI,Y,,,765,16,1632,15,54,0,0,0,0,0,0
22,ATASI,,"AT 3020",,MFM,N,1992-12-10,,16,0,645,3,17,0,0,0,0,634,0
23,ATASI,,"AT 3030",5.2,MFM,,,,28,0,645,5,17,0,0,0,323,645,0
24,ATASI,,"AT 3033",5.2,,N,,,26,28,645,5,17,0,0,0,0,634,0
25,ATASI,,"AT 3036",5.2,,,1992-12-10,,30,0,0,0,0,0,0,0,0,0,0
26,ATASI,,"AT 3046",5.2,,N,,,38,0,645,7,17,0,0,0,323,644,0
27,ATASI,,"AT 3051",5.2,,N,1990-08-23,,41,0,704,7,17,0,0,0,352,703,0
28,ATASI,,"AT 3051+",,,N,,,43,0,733,7,17,0,0,0,368,732,0
29,ATASI,,"AT 3053",5.2,,N,,,44,0,733,7,17,0,0,0,365,732,0
